wavelength_nm,frequency_THz,power_dBm
1529.0579735646868,196.0635,-96.5
1529.05897259028,196.0633719,-96.5
1529.0599716171787,196.0632438,-96.34999999999997
1529.060970645383,196.0631157,-95.89999999999995
1529.0619696748922,196.0629876,-95.45000000000002
1529.0629687057074,196.0628595,-95.0
1529.0639677378276,196.06273140000002,-94.54999999999998
1529.0649667712537,196.0626033,-94.09999999999997
1529.0659658059851,196.0624752,-93.64999999999995
1529.0669648420217,196.0623471,-94.02499999999998
1529.0679638793642,196.062219,-94.8125
1529.0689629180117,196.06209090000002,-95.60000000000002
1529.0699619579652,196.0619628,-96.1375
1529.0709609992239,196.0618347,-96.17500000000001
1529.071960041788,196.0617066,-96.2125
1529.0729590856579,196.0615785,-96.25
1529.0739581308328,196.0614504,-96.2875
1529.0749571773135,196.0613223,-96.325
1529.0759562250996,196.06119420000002,-96.36250000000001
1529.0769552741913,196.0610661,-95.47500000000005
1529.0779543245885,196.060938,-94.125
1529.078953376291,196.0608099,-93.7875
1529.0799524292993,196.0606818,-93.44999999999997
1529.0809514836128,196.0605537,-93.11249999999995
1529.0819505392321,196.0604256,-93.19999999999999
1529.0829495961568,196.0602975,-93.5
1529.0839486543869,196.0601694,-91.54999999999993
1529.0849477139225,196.0600413,-88.84999999999968
1529.0859467747637,196.0599132,-84.64999999999952
1529.0869458369104,196.0597851,-81.80000000000008
1529.0879449003623,196.05965700000002,-79.625
1529.0889439651203,196.0595289,-79.32499999999999
1529.0899430311836,196.0594008,-79.04999999999998
1529.0909420985522,196.0592727,-78.82499999999997
1529.0919411672267,196.0591446,-78.8
1529.0929402372064,196.0590165,-78.875
1529.0939393084918,196.0588884,-78.49999999999999
1529.0949383810828,196.05876030000002,-78.19999999999999
1529.0959374549793,196.0586322,-78.04999999999998
1529.0969365301812,196.0585041,-78.44999999999997
1529.0979356066887,196.058376,-79.125
1529.098934684502,196.0582479,-78.07499999999996
1529.0999337636204,196.05811980000001,-76.97499999999991
1529.1009328440448,196.0579917,-75.77499999999986
1529.1019319257746,196.0578636,-75.275
