wavelength_nm,frequency_THz,power_dBm
1566.648,191.35916810923703,-68.8703187
1566.6490000000001,191.35904596370978,-69.3408349
1566.65,191.35892381833847,-69.0162671
1566.651,191.35880167312308,-69.2153523
1566.6519999999998,191.35867952806367,-69.1307683
1566.653,191.35855738316013,-69.25667
1566.654,191.35843523841254,-69.1406573
1566.655,191.3583130938209,-69.2713099
1566.656,191.35819094938518,-69.2931064
1566.6570000000002,191.35806880510538,-68.5727565
1566.6580000000001,191.3579466609815,-68.7540503
1566.659,191.3578245170136,-69.2336415
1566.6599999999999,191.3577023732016,-69.4713337
1566.661,191.3575802295455,-69.4385514
1566.662,191.35745808604534,-69.0010789
1566.663,191.35733594270116,-69.0652795
1566.664,191.35721379951283,-68.9988467
1566.665,191.35709165648046,-69.2355433
1566.6660000000002,191.35696951360399,-69.3642022
1566.667,191.35684737088351,-69.2680464
1566.668,191.35672522831896,-69.3014108
1566.6689999999999,191.3566030859103,-69.5970187
1566.67,191.35648094365752,-69.3825045
1566.671,191.3563588015607,-69.7415342
1566.672,191.35623665961987,-69.9309949
1566.673,191.3561145178349,-69.7143317
1566.6740000000002,191.35599237620588,-69.2590826
1566.675,191.35587023473278,-69.6907068
1566.676,191.35574809341563,-69.3499684
1566.677,191.35562595225437,-69.5670395
1566.6779999999999,191.35550381124904,-70.3860808
1566.679,191.3553816703996,-69.2825366
1566.68,191.3552595297061,-69.8864428
1566.681,191.35513738916856,-69.754199
1566.682,191.3550152487869,-70.0538083
1566.683,191.35489310856119,-69.2786853
1566.684,191.3547709684914,-69.1599023
1566.685,191.35464882857752,-69.0908165
1566.686,191.3545266888196,-69.0043689
1566.6870000000001,191.35440454921752,-69.3764829
1566.688,191.3542824097714,-69.11139
1566.689,191.35416027048126,-69.4369152
1566.6899999999998,191.35403813134698,-69.772028
1566.691,191.35391599236863,-69.4383996
1566.692,191.3537938535462,-69.7596206
1566.693,191.35367171487968,-69.866967
1566.694,191.3535495763691,-69.243457
1566.695,191.3534274380144,-69.4547781
1566.6960000000001,191.35330529981562,-69.3815045
1566.6970000000001,191.3531831617728,-69.3635822
1566.6979999999999,191.3530610238859,-69.2960977
1566.6989999999998,191.3529388861549,-69.6773256
1566.7,191.35281674857978,-69.7473671
1566.701,191.35269461116062,-69.8904417
1566.702,191.3525724738974,-69.2658231
1566.703,191.35245033679007,-69.659658
1566.7040000000002,191.35232819983858,-69.1905569
1566.7050000000002,191.3522060630431,-69.1750481
1566.706,191.35208392640357,-69.3531266
1566.7069999999999,191.35196178991987,-69.6268736
1566.708,191.3518396535921,-69.18464
1566.709,191.35171751742024,-69.3672922
1566.71,191.35159538140434,-69.1336888
1566.711,191.3514732455443,-69.3756467
1566.712,191.3513511098402,-69.0502907
1566.713,191.35122897429204,-68.7162433
1566.714,191.35110683889974,-68.8117743
1566.715,191.3509847036634,-69.0274263
1566.716,191.35086256858293,-68.9193493
1566.717,191.35074043365836,-69.34424
1566.718,191.35061829888974,-69.4008596
1566.719,191.35049616427705,-69.465489
1566.72,191.35037402982024,-69.2832193
1566.721,191.35025189551934,-69.2809565
1566.722,191.35012976137438,-69.3692141
1566.723,191.3500076273853,-69.5037533
1566.724,191.34988549355216,-69.0535604
1566.725,191.3497633598749,-68.6214366
1566.726,191.34964122635353,-69.6619948
1566.727,191.3495190929881,-69.4357028
1566.728,191.3493969597786,-69.4073848
1566.7289999999998,191.349274826725,-69.0152838
